SampleID,Group,species,site,month,age,group,bird_id,type,Recap,recap_delete,Recap_num,replicate,remove_replicate,weight,wing,hb,SourceSink,Env,Date,Plate,migration
8546,8546,Red-necked stint,Broome,August,Second year,two,3674227,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8548,8548,Red-necked stint,Broome,August,Second year,two,3674229,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8549,8549,Red-necked stint,Broome,August,Adult,two,3671906,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-adult
8551,8551,Red-necked stint,Broome,August,Second year,two,3674231,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8552,8552,Red-necked stint,Broome,August,Second year,two,3674232,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8556,8556,Red-necked stint,Broome,August,Second year,two,3674214,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8557,8557,Red-necked stint,Broome,August,Second year,two,3674215,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8558,8558,Red-necked stint,Broome,August,Second year,two,3674216,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8559,8559,Red-necked stint,Broome,August,Second year,two,3674217,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8560,8560,Red-necked stint,Broome,August,Adult,two,3674218,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-adult
8561,8561,Red-necked stint,Broome,August,Second year,two,3674219,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8563,8563,Red-necked stint,Broome,August,Second year,two,3674221,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8564,8564,Red-necked stint,Broome,August,Second year,two,3674222,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8565,8565,Red-necked stint,Broome,August,Second year,two,3674223,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8566,8566,Red-necked stint,Broome,August,Second year,two,3674234,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8569,8569,Red-necked stint,Broome,August,Second year,two,3674238,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8570,8570,Red-necked stint,Broome,August,Second year,two,3674239,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8571,8571,Red-necked stint,Broome,August,Second year,two,3674235,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-stint-SY
8573,8573,Curlew sandpiper,Broome,August,Adult,one,4265493,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-adult
8575,8575,Curlew sandpiper,Broome,August,Second year,one,4267503,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-SY
8578,8578,Curlew sandpiper,Broome,August,Second year,one,4267505,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-SY
8581,8581,Curlew sandpiper,Broome,August,Adult,one,4265763,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-adult
8583,8583,Curlew sandpiper,Broome,August,Second year,one,4267072,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-SY
8586,8586,Curlew sandpiper,Broome,August,Adult,one,4267509,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-adult
8588,8588,Curlew sandpiper,Broome,August,Second year,one,4267074,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-SY
8589,8589,Curlew sandpiper,Broome,August,Adult,one,4267075,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-adult
8590,8590,Curlew sandpiper,Broome,August,Second year,one,4267076,bird,No,No,,No,No,,,,,,22/08/2015,2,Broome-curlewsand-SY
8601,8601,Red-necked stint,Broome,August,Adult,two,3674269,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8604,8604,Red-necked stint,Broome,August,Adult,two,3674280,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8605,8605,Red-necked stint,Broome,August,Adult,two,3681013,bird,No,No,,Yes,No,,,,,,29/08/2015,2,Broome-stint-adult
8605_2,8605,Red-necked stint,Broome,August,Adult,two,3681013,bird,No,No,,Yes,Yes,,,,,,29/08/2015,2,Broome-stint-adult
8606,8606,Red-necked stint,Broome,August,Adult,two,3674285,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8607,8607,Red-necked stint,Broome,August,Adult,two,3678451,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8609,8609,Red-necked stint,Broome,August,Adult,two,3681015,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
